blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
0,-7344,-5,-43,-1.4,-10,-1,-2,-2
1,-271,1,-15,0.2,-1,1,2,0
1,1751,72,-13,0.8,1,-1,-1,0
0,-1392,19,9,0,-3,-1,0,-2
1,3039,50,41,0.8,3,0,1,0
0,-290,-45,15,-0.2,0,0,2,-1
0,-3213,-11,-23,-0.2,-5,-1,-2,-1
1,963,22,-8,-0.2,0,1,1,2
0,-1071,-5,-33,-0.2,-3,0,0,0
1,-1029,23,31,0,-5,0,-1,0
0,-4153,-59,-39,-0.8,-7,1,-2,-1
0,-13,-26,-6,-0.4,1,1,0,1
1,-1856,-30,-23,-0.4,-1,1,-1,0
1,6640,53,42,1,7,1,-1,2
1,8693,48,-6,0.8,10,1,0,4
0,-5140,-39,-4,0,-4,-1,0,-2
1,72,-4,19,0,5,-1,1,0
1,1264,36,7,0.2,0,1,-1,1
1,4794,75,6,0.6,10,-1,1,0
0,2682,81,-38,-0.4,3,1,2,2
0,-4303,-4,28,-0.2,-5,-1,0,-2
1,1938,-12,-12,-0.4,3,1,-1,1
0,173,33,2,0.4,-2,1,-1,0
0,-6876,-27,-65,-0.8,-6,-1,-2,-2
0,-4535,-17,-18,-0.6,-4,-1,-1,-2
0,5206,16,3,0.2,6,-1,0,0
0,-5537,-39,-48,-0.6,-6,-1,-1,-2
0,-8824,-30,14,-1,-14,1,0,-1
0,2428,-22,6,0,1,1,1,2
1,-851,-6,16,-0.2,0,0,1,0
1,5321,83,-4,0.6,8,1,0,3
1,3220,16,15,0.2,4,1,2,1
0,-4366,-36,-33,-1.2,-7,-1,2,-2
1,3729,45,25,1.2,3,1,0,1
0,1153,56,-59,0.2,6,0,2,-1
1,6454,-12,21,0.8,10,-1,-2,1
0,-2122,-34,-1,0.2,-1,0,0,-1
1,-204,-27,0,0.2,2,1,1,0
1,1021,-45,35,-0.2,1,-1,-2,-1
0,3279,24,24,0.6,2,1,2,1
0,-5060,-10,9,-0.6,-9,1,-2,-1
1,4228,9,-13,0.4,7,1,2,2
0,-9248,-109,31,-1,-13,1,1,-2
0,495,-13,-5,0,3,1,-1,0
0,-5505,-132,-14,-0.6,-6,0,-1,-2
1,11538,139,40,1.2,14,0,0,1
1,3199,19,3,0.2,6,1,0,1
0,-111,-58,16,0.6,6,-1,-2,-2
1,5258,-48,13,0.4,10,1,1,2
0,-5541,-56,-4,-1.2,-10,0,-1,-1
1,61,-64,14,0.4,4,1,1,-1
0,-2613,-44,-17,-0.8,-4,0,-2,-1
0,-1898,-53,20,-0.6,-4,-1,-2,1
0,-298,-6,22,-0.6,-5,1,0,1
0,-2478,14,-12,0.2,-2,-1,2,-1
1,3325,-6,7,0,6,-1,0,1
0,1363,42,0,0.6,4,-1,0,0
0,-4256,-39,-13,-0.4,-2,-1,-2,-2
1,15671,117,63,2.2,17,1,2,7
0,-2722,-25,-39,-0.4,-5,1,-2,1
0,-2868,45,-25,-0.4,-4,-1,-2,-2
1,4847,-28,21,0.8,11,1,0,1
1,5230,7,-7,1,7,-1,1,0
1,4369,14,35,0.4,3,1,0,2
1,2992,51,-56,0.4,5,1,-2,0
0,-388,-19,14,0.6,4,-1,0,-2
0,-2300,-35,-5,0,0,-1,-2,-1
1,2947,-4,-21,0.8,5,-1,0,1
1,3720,32,-2,0,7,-1,2,1
1,4323,8,-18,0,5,1,1,2
0,-1507,21,-2,-0.2,-3,-1,-2,0
0,-5191,-69,-32,-1.2,-12,1,-2,-1
1,5800,37,4,0.6,6,1,1,2
1,2101,9,40,0.6,3,1,1,-1
1,1944,31,5,0.4,3,-1,0,0
1,-1258,-34,33,0.4,2,-1,0,-1
1,-3849,-16,-29,-0.2,-5,0,-2,-1
1,2144,-9,-2,0.6,12,-1,2,0
0,-2935,57,-34,0,-10,-1,-1,0
0,3127,2,9,0,1,1,-1,2
0,-8394,-26,-31,-1.6,-10,1,-1,-2
1,207,-10,-4,0,4,-1,0,-2
0,-4287,-43,0,-0.4,-4,-1,2,-1
1,9,-18,-24,-0.2,1,1,0,0
0,-2480,-49,19,0,-4,0,-2,0
0,-2558,-54,5,-0.2,-2,1,-2,1
0,-10105,-93,8,-1.2,-20,-1,1,-1
1,4405,8,10,0.4,8,1,0,0
